NOC,Gold,Silver,Bronze,Total,source_file
SLO,0,0,3,3,Lillehammer 1994 Olympics Nations Medals.csv
GBR,0,0,2,2,Lillehammer 1994 Olympics Nations Medals.csv
AUS,0,0,1,1,Lillehammer 1994 Olympics Nations Medals.csv
USA,48,26,30,104,London 2012 Olympics Nations Medals.csv
CHN,39,31,22,92,London 2012 Olympics Nations Medals.csv
GBR,29,18,18,65,London 2012 Olympics Nations Medals.csv
RUS,18,21,26,65,London 2012 Olympics Nations Medals.csv
KOR,13,9,9,31,London 2012 Olympics Nations Medals.csv
GER,11,20,13,44,London 2012 Olympics Nations Medals.csv
FRA,11,11,13,35,London 2012 Olympics Nations Medals.csv
AUS,8,15,12,35,London 2012 Olympics Nations Medals.csv
ITA,8,9,11,28,London 2012 Olympics Nations Medals.csv
HUN,8,4,6,18,London 2012 Olympics Nations Medals.csv
JPN,7,14,17,38,London 2012 Olympics Nations Medals.csv
IRI,7,5,1,13,London 2012 Olympics Nations Medals.csv
NED,6,6,8,20,London 2012 Olympics Nations Medals.csv
NZL,6,2,5,13,London 2012 Olympics Nations Medals.csv
UKR,5,4,10,19,London 2012 Olympics Nations Medals.csv
CUB,5,3,7,15,London 2012 Olympics Nations Medals.csv
ESP,4,10,6,20,London 2012 Olympics Nations Medals.csv
JAM,4,5,4,13,London 2012 Olympics Nations Medals.csv
CZE,4,4,3,11,London 2012 Olympics Nations Medals.csv
RSA,4,1,1,6,London 2012 Olympics Nations Medals.csv
PRK,4,0,3,7,London 2012 Olympics Nations Medals.csv
BRA,3,5,9,17,London 2012 Olympics Nations Medals.csv
KAZ,3,2,6,11,London 2012 Olympics Nations Medals.csv
POL,3,2,6,11,London 2012 Olympics Nations Medals.csv
ETH,3,2,3,8,London 2012 Olympics Nations Medals.csv
CRO,3,1,2,6,London 2012 Olympics Nations Medals.csv
CAN,2,6,10,18,London 2012 Olympics Nations Medals.csv
BLR,2,5,3,10,London 2012 Olympics Nations Medals.csv
KEN,2,4,7,13,London 2012 Olympics Nations Medals.csv
DEN,2,4,3,9,London 2012 Olympics Nations Medals.csv
ROU,2,4,1,7,London 2012 Olympics Nations Medals.csv
AZE,2,2,5,9,London 2012 Olympics Nations Medals.csv
SUI,2,2,0,4,London 2012 Olympics Nations Medals.csv
NOR,2,1,1,4,London 2012 Olympics Nations Medals.csv
LTU,2,0,3,5,London 2012 Olympics Nations Medals.csv
TUN,2,0,1,3,London 2012 Olympics Nations Medals.csv
