NOC,Gold,Silver,Bronze,Total,City
MOZ,1,0,0,1,Sydney
BRA,0,6,6,12,Sydney
JAM,0,6,3,9,Sydney
BEL,0,2,3,5,Sydney
RSA,0,2,3,5,Sydney
ARG,0,2,2,4,Sydney
MAR,0,1,4,5,Sydney
TPE,0,1,4,5,Sydney
PRK,0,1,3,4,Sydney
TTO,0,1,1,2,Sydney
KSA,0,1,1,2,Sydney
MDA,0,1,1,2,Sydney
URU,0,1,0,1,Sydney
VIE,0,1,0,1,Sydney
IRL,0,1,0,1,Sydney
SRI,0,1,0,1,Sydney
GEO,0,0,6,6,Sydney
CRC,0,0,2,2,Sydney
POR,0,0,2,2,Sydney
BAR,0,0,1,1,Sydney
QAT,0,0,1,1,Sydney
KGZ,0,0,1,1,Sydney
IND,0,0,1,1,Sydney
ARM,0,0,1,1,Sydney
KUW,0,0,1,1,Sydney
MKD,0,0,1,1,Sydney
CHI,0,0,1,1,Sydney
ISL,0,0,1,1,Sydney
USA,39,41,33,113,Tokyo
CHN,38,32,19,89,Tokyo
JPN,27,14,17,58,Tokyo
GBR,22,20,22,64,Tokyo
ROC,20,28,23,71,Tokyo
AUS,17,7,22,46,Tokyo
NED,10,12,14,36,Tokyo
FRA,10,12,11,33,Tokyo
GER,10,11,16,37,Tokyo
ITA,10,10,20,40,Tokyo
CAN,7,7,10,24,Tokyo
BRA,7,6,8,21,Tokyo
NZL,7,6,7,20,Tokyo
CUB,7,3,5,15,Tokyo
HUN,6,7,7,20,Tokyo
KOR,6,4,10,20,Tokyo
POL,4,5,5,14,Tokyo
CZE,4,4,3,11,Tokyo
KEN,4,4,2,10,Tokyo
NOR,4,2,2,8,Tokyo
JAM,4,1,4,9,Tokyo
ESP,3,8,6,17,Tokyo
SWE,3,6,0,9,Tokyo
SUI,3,4,6,13,Tokyo
DEN,3,4,4,11,Tokyo
CRO,3,3,2,8,Tokyo
IRI,3,2,2,7,Tokyo
SRB,3,1,5,9,Tokyo
BEL,3,1,3,7,Tokyo
BUL,3,1,2,6,Tokyo
SLO,3,1,1,5,Tokyo
UZB,3,0,2,5,Tokyo
GEO,2,5,1,8,Tokyo
TPE,2,4,6,12,Tokyo
TUR,2,2,9,13,Tokyo
UGA,2,1,1,4,Tokyo
GRE,2,1,1,4,Tokyo
ECU,2,1,0,3,Tokyo
IRL,2,0,2,4,Tokyo
QAT,2,0,1,3,Tokyo
BAH,2,0,0,2,Tokyo
KOS,2,0,0,2,Tokyo
UKR,1,6,12,19,Tokyo
BLR,1,3,3,7,Tokyo
ROU,1,3,0,4,Tokyo
VEN,1,3,0,4,Tokyo
IND,1,2,4,7,Tokyo
HKG,1,2,3,6,Tokyo
SVK,1,2,1,4,Tokyo
PHI,1,2,1,4,Tokyo
RSA,1,2,0,3,Tokyo
AUT,1,1,5,7,Tokyo
EGY,1,1,4,6,Tokyo
INA,1,1,3,5,Tokyo
ETH,1,1,2,4,Tokyo
POR,1,1,2,4,Tokyo
TUN,1,1,0,2,Tokyo
EST,1,0,1,2,Tokyo
FIJ,1,0,1,2,Tokyo
THA,1,0,1,2,Tokyo
LAT,1,0,1,2,Tokyo
BER,1,0,0,1,Tokyo
PUR,1,0,0,1,Tokyo
MAR,1,0,0,1,Tokyo
COL,0,4,1,5,Tokyo
AZE,0,3,4,7,Tokyo
DOM,0,3,2,5,Tokyo
ARM,0,2,2,4,Tokyo
KGZ,0,2,1,3,Tokyo
MGL,0,1,3,4,Tokyo
SMR,0,1,2,3,Tokyo
ARG,0,1,2,3,Tokyo
JOR,0,1,1,2,Tokyo
MAS,0,1,1,2,Tokyo
NGR,0,1,1,2,Tokyo
MKD,0,1,0,1,Tokyo
NAM,0,1,0,1,Tokyo
LTU,0,1,0,1,Tokyo
TKM,0,1,0,1,Tokyo
KSA,0,1,0,1,Tokyo
